bedrooms,bathrooms,floors,waterfront,view,condition,grade,zipcode,sale_year,sale_month,was_renovated,effective_year,effective_age,price_log,sqft_living_log,sqft_lot_log,sqft_living15_log,sqft_lot15_log
2,1.0,1.0,0,0,3,7,98178,2014,10,0,1955,59,12.351475171599722,7.074116816197362,8.639587799629844,7.201170883281678,8.639587799629844
3,2.25,2.0,0,0,3,7,98125,2014,12,1,1991,23,13.195615697878253,7.852050207265889,8.887790764195326,7.43307534889858,8.941152882160566
2,1.0,1.0,0,0,3,6,98028,2015,2,0,1933,82,12.100717685412471,6.647688373563329,9.210440366976517,7.908754738783246,8.995040974685022
4,3.0,1.0,0,0,5,7,98136,2014,12,0,1965,49,13.311331132544721,7.581209826196346,8.517393171418904,7.215975002651466,8.517393171418904
3,2.0,1.0,0,0,3,8,98074,2015,2,0,1987,28,13.1421679654829,7.427144133408616,8.997270906233448,7.496097345175956,8.92319149068606
4,4.5,1.0,0,0,3,11,98053,2014,5,0,2001,13,14.018452218287162,8.598035579260339,11.532051392768706,8.46821300919452,11.532051392768706
3,2.25,2.0,0,0,3,7,98003,2014,6,0,1995,19,12.458778882573533,7.447751280047908,8.827614750837508,7.713784616598755,8.827614750837508
3,1.5,1.0,0,0,3,7,98198,2015,1,0,1963,52,12.583998677043747,6.966967138613983,9.181117513299279,7.409136443920128,9.181117513299279
3,1.0,1.0,0,0,3,7,98146,2015,4,0,1960,55,12.343662665771719,7.484930283289661,8.918784137975802,7.484930283289661,9.001346243766392
3,2.5,2.0,0,0,3,7,98038,2015,3,0,2003,12,12.685410698175234,7.544861068658458,8.788898309344878,7.779466967458324,8.932080438103307
3,2.5,1.0,0,0,3,8,98007,2015,4,0,1965,50,13.403777346275337,8.177796683277778,9.189831495344642,7.701200180857446,9.096723645189215
2,1.0,1.0,0,0,4,7,98115,2014,5,0,1942,72,13.056225711649638,7.057036981697891,8.699681400989514,7.193685818395112,8.699681400989514
3,1.0,1.5,0,0,4,7,98028,2014,5,0,1927,87,12.644330802262578,7.266128779556451,9.898575508175107,7.484930283289661,9.449199779730396
3,1.75,1.0,0,0,4,7,98074,2014,10,0,1977,37,12.899222326086994,7.223295679562314,9.177920480720072,7.223295679562314,9.231024963169016
5,2.0,1.5,0,0,3,7,98107,2015,3,0,1900,115,13.180634172318978,7.501634457883413,8.486940148245216,7.215975002651466,8.486940148245216
4,3.0,2.0,0,3,3,9,98126,2015,1,0,1979,36,13.384729180332174,7.989899374942939,8.517393171418904,7.669028288589683,8.294299608857235
3,2.0,2.0,0,0,3,7,98019,2014,7,0,1994,20,12.886643575525625,7.544861068658458,9.549736900114642,7.544861068658458,9.548168831368535
4,1.0,1.5,0,0,4,7,98103,2014,5,0,1916,98,13.091906231773164,7.3783837129967145,8.366602832783736,7.384610383176974,8.366602832783736
2,1.0,1.0,0,0,4,7,98002,2014,12,0,1921,93,12.149507585033072,7.0909098220799835,9.19532825185568,6.966967138613983,8.536211197252
3,1.0,1.0,0,0,4,7,98003,2015,4,0,1969,46,12.345838935721968,7.1316985104669115,9.187583384853566,7.155396301896734,9.088285725968877
4,1.75,1.0,0,0,4,7,98133,2014,5,0,1947,67,12.861001210669146,7.390798521735676,8.513385953073284,7.244941546337007,8.513385953073284
3,2.75,1.0,0,4,3,9,98040,2014,8,0,1968,46,14.508658238524095,8.02322468471667,10.711480124765114,8.321421586897879,9.920197166099076
5,2.5,2.0,0,0,3,8,98092,2014,7,0,1995,19,12.560247968016562,7.7279755421055585,8.748463629942055,7.714677473800927,8.854522203757432
2,1.5,1.0,0,0,3,7,98030,2014,5,0,1985,29,12.43996225063003,6.976348070447749,9.174091239301061,7.107425474110705,9.034438166984412
3,2.25,2.0,0,0,4,8,98030,2014,11,0,1985,29,12.703816069256568,7.804251383528112,8.77971129020447,7.696667081526462,8.834336974017637
3,2.0,1.5,0,0,5,6,98002,2014,11,0,1941,73,12.358798024384122,7.444833273892193,8.454892165218858,6.93828448401696,8.456593569287309
3,1.75,2.0,0,0,3,8,98119,2014,6,0,1915,99,13.75043962845585,7.804251383528112,7.898039690764619,7.473637108496206,8.181440695719374
3,1.0,1.5,0,0,5,8,98112,2014,12,0,1909,105,13.410546824147012,7.244941546337007,7.366445148327599,7.528869256642251,8.258940462988459
3,1.75,1.0,0,0,3,7,98115,2014,6,0,1948,66,12.989976472461,7.327123292259293,8.761080103868347,7.327123292259293,8.738094230177667
4,2.5,2.0,0,0,3,8,98052,2015,3,0,2005,10,13.4856180275228,7.852050207265889,8.878218658092228,7.875119281040293,8.704004653483045
3,2.5,2.0,0,0,3,8,98027,2014,11,0,2003,11,13.271646802771485,7.749753406274437,8.289288323000317,7.855932199718614,8.289288323000317
2,1.5,3.0,0,0,3,7,98133,2014,12,0,2005,9,12.54254845357358,7.0825485693553,7.143617602704121,7.237778191923443,7.471363088187097
4,1.75,1.5,0,0,4,7,98117,2014,6,0,1929,85,13.44081856306726,7.754052639035757,8.517393171418904,7.2868764117507,8.517393171418904
3,1.0,1.5,0,0,4,8,98117,2014,11,0,1929,85,13.190023895035274,6.994849985833071,8.006700845440367,7.359467638255621,8.533263371593732
4,2.75,1.0,0,0,3,7,98058,2014,12,0,1981,33,12.683861515988351,7.630946580890459,8.803874763534434,7.611347717403621,9.073489189226986
3,2.5,1.5,0,0,3,8,98115,2014,6,1,2002,12,13.453106376097134,7.741099090035366,8.026496938945412,7.372118028337787,8.09101504171053
4,1.0,1.0,0,0,1,5,98052,2014,5,0,1933,81,13.217675375388819,7.415175109613295,10.458779721372386,7.6783263565068856,9.34731582700326
4,2.0,2.0,0,0,4,8,98107,2014,12,0,1904,110,13.369225017834633,7.766840537085513,8.699681400989514,7.456454555176209,8.45553053102413
4,1.0,1.0,0,0,2,7,98001,2015,2,0,1969,46,12.388398368982115,7.107425474110705,8.996651979432729,7.1631723908466425,8.962007209588313
4,2.5,2.0,0,0,3,8,98056,2014,6,0,1996,18,13.312985389904174,7.8713112033234065,8.929832503272403,7.8713112033234065,9.383032379794294
4,2.5,2.0,0,0,3,9,98074,2014,7,0,2000,14,13.345508528717259,7.852050207265889,8.616314282284044,7.81237820598861,8.642944396721798
4,2.25,1.0,0,0,3,8,98166,2014,8,0,1984,30,13.560619598657233,8.347827345782498,10.093570577723847,7.787796878181171,10.329343350292026
5,2.75,2.0,0,0,3,9,98053,2014,7,0,2014,0,13.667000108756058,8.18757739559151,8.637639344492104,8.195885391314796,8.637639344492104
3,1.0,2.0,0,0,3,7,98119,2014,10,0,1922,92,13.437175577097312,7.359467638255621,7.732369222284388,7.365812837209472,7.878912912297133
3,1.0,1.0,0,0,4,6,98058,2014,7,0,1959,55,12.6410997921206,7.155396301896734,9.175438319966918,7.201170883281678,9.083529205109796
3,2.5,2.0,0,0,3,8,98019,2014,7,0,2003,11,13.098072734013513,8.058643712215618,9.518119146127086,8.02322468471667,9.130539301772627
3,1.0,1.0,0,0,3,6,98023,2015,3,0,1966,49,12.257198175846119,6.898714534329988,9.05122740031911,7.113956109566034,9.087155271405804
4,2.5,2.0,0,0,4,9,98007,2014,7,0,1981,33,13.573440270649085,7.736743682453495,9.504277838590472,7.893945138235959,9.524128691512443
3,1.75,1.0,0,0,4,7,98115,2015,4,0,1953,62,13.017005083966255,7.1316985104669115,8.69349667588463,6.878326468291325,8.537191877922927
3,2.5,1.0,1,2,5,9,98070,2015,3,0,1953,62,14.115615891155079,7.9208096792886,11.08223485230999,7.893945138235959,11.191534925648972
3,1.0,1.0,0,0,3,7,98148,2014,9,0,1955,59,12.337105293891872,7.0825485693553,9.126958763037132,7.0825485693553,9.144734614878189
5,2.5,1.0,0,0,4,8,98056,2015,2,0,1966,49,12.75130259456002,8.055475141757274,9.119868468812108,7.596392304064196,9.119758993744945
